,Data,dolnośląskie,kujawsko -pomorskie,lubelskie,lubuskie,łódzkie,małopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,Total
1,01.01,647,967,388,343,704,388,1453,179,261,307,1027,6664
2,02.01,344,471,280,113,604,281,1046,182,217,173,787,4498
3,03.01,246,673,207,169,292,200,903,100,118,171,705,3784
4,04.01,115,484,142,96,287,194,746,84,116,80,623,2967
5,05.01,481,913,447,93,487,233,824,93,270,189,534,4564
6,06.01,599,1300,658,368,1058,625,1686,222,654,477,1148,8795
7,07.01,627,1078,331,379,627,453,1469,326,570,272,1003,7135
8,08.01,461,1034,403,233,546,352,1216,96,490,293,987,6111
9,09.01,514,886,512,293,702,418,1333,195,291,298,977,6419
10,10.01,459,923,381,261,573,260,1305,181,214,239,1010,5806
11,11.01,227,388,138,190,218,233,627,127,159,75,509,2891
12,12.01,339,526,344,89,285,236,695,116,108,143,583,3464
13,13.01,452,910,493,243,567,383,1069,172,235,333,729,5586
14,14.01,463,993,403,288,554,337,1231,235,233,291,878,5906
15,15.01,477,712,355,218,495,321,946,214,232,277,740,4987
16,16.01,378,653,358,178,416,293,1040,222,194,210,741,4683
17,17.01,302,658,318,247,351,225,816,99,177,121,603,3917
18,18.01,156,201,86,99,98,306,475,125,83,69,468,2166
19,19.01,311,438,266,85,275,234,683,95,188,126,411,3112
20,20.01,336,534,357,201,393,280,890,138,192,329,582,4232
21,21.01,567,729,323,217,410,315,874,143,216,226,740,4760
22,22.01,366,613,311,208,351,270,856,113,175,229,770,4262
23,23.01,414,644,378,166,348,250,936,95,159,218,513,4121
24,24.01,251,447,234,145,283,219,687,104,191,161,461,3183
25,25.01,179,218,78,134,118,115,371,45,61,95,357,1771
26,26.01,312,452,336,93,256,159,570,78,136,145,361,2898
27,27.01,343,634,358,174,392,359,934,105,182,317,636,4434
28,28.01,527,718,354,226,391,290,1046,153,270,209,659,4843
29,29.01,386,500,264,171,309,250,972,145,222,254,556,4029
30,30.01,338,482,318,178,335,265,950,100,150,251,523,3890
31,31.01,303,394,227,170,203,204,765,124,136,187,449,3162
32,01.02,202,219,69,91,113,182,440,44,116,82,243,1801
33,02.02,236,449,256,84,238,244,586,55,152,150,326,2776
34,03.02,392,432,324,196,393,355,1129,124,230,237,647,4459
